Local time,Open,High,Low,Close,Volume
27.05.2003 13:00:00.000 GMT+0800,1.28420,1.29170,1.28160,1.28540,6331
27.05.2003 17:00:00.000 GMT+0800,1.28570,1.28620,1.28030,1.28320,7288
27.05.2003 21:00:00.000 GMT+0800,1.28320,1.28590,1.27760,1.28540,8308
28.05.2003 01:00:00.000 GMT+0800,1.28530,1.28720,1.28130,1.28660,5250
28.05.2003 05:00:00.000 GMT+0800,1.28670,1.28820,1.28580,1.28751,9478.2002
28.05.2003 09:00:00.000 GMT+0800,1.28773,1.28819,1.28522,1.28632,30544.7002
28.05.2003 13:00:00.000 GMT+0800,1.28601,1.29368,1.28480,1.29165,30503.5005
28.05.2003 17:00:00.000 GMT+0800,1.29193,1.30105,1.28891,1.29897,30554.1001
28.05.2003 21:00:00.000 GMT+0800,1.29897,1.30119,1.29438,1.29820,88460.103
29.05.2003 01:00:00.000 GMT+0800,1.29819,1.30152,1.29368,1.29475,113833.49900000001
29.05.2003 05:00:00.000 GMT+0800,1.29486,1.29817,1.29392,1.29679,31639.1997
29.05.2003 09:00:00.000 GMT+0800,1.29679,1.29990,1.29497,1.29837,31383.3999
29.05.2003 13:00:00.000 GMT+0800,1.29848,1.30525,1.29515,1.30452,30515.1997
29.05.2003 17:00:00.000 GMT+0800,1.30449,1.30661,1.29804,1.29951,31204.300300000003
29.05.2003 21:00:00.000 GMT+0800,1.29941,1.30141,1.28707,1.29045,87791.50289999999
30.05.2003 01:00:00.000 GMT+0800,1.28860,1.29047,1.28334,1.28577,112082.2012
30.05.2003 05:00:00.000 GMT+0800,1.28571,1.28642,1.28260,1.28606,30919.7002
30.05.2003 09:00:00.000 GMT+0800,1.28600,1.28749,1.28404,1.28706,30447.3003
30.05.2003 13:00:00.000 GMT+0800,1.28719,1.29066,1.28492,1.28971,32417.200699999998
30.05.2003 17:00:00.000 GMT+0800,1.28982,1.29292,1.28913,1.29155,31515.1001
30.05.2003 21:00:00.000 GMT+0800,1.29148,1.30315,1.29059,1.30236,88861.1035
31.05.2003 01:00:00.000 GMT+0800,1.30201,1.30234,1.29662,1.29969,113925.2978
31.05.2003 05:00:00.000 GMT+0800,1.29969,1.29969,1.29969,1.29969,0
31.05.2003 09:00:00.000 GMT+0800,1.29969,1.29969,1.29969,1.29969,0
31.05.2003 13:00:00.000 GMT+0800,1.29969,1.29969,1.29969,1.29969,0
31.05.2003 17:00:00.000 GMT+0800,1.29969,1.29969,1.29969,1.29969,0
31.05.2003 21:00:00.000 GMT+0800,1.29969,1.29969,1.29969,1.29969,0
01.06.2003 01:00:00.000 GMT+0800,1.29969,1.29969,1.29969,1.29969,0
01.06.2003 05:00:00.000 GMT+0800,1.29969,1.29969,1.29756,1.29756,0
01.06.2003 09:00:00.000 GMT+0800,1.29756,1.29756,1.29756,1.29756,0
01.06.2003 13:00:00.000 GMT+0800,1.29756,1.29756,1.29756,1.29756,0
01.06.2003 17:00:00.000 GMT+0800,1.29756,1.29756,1.29756,1.29756,0
01.06.2003 21:00:00.000 GMT+0800,1.29756,1.29756,1.29756,1.29756,0
02.06.2003 01:00:00.000 GMT+0800,1.29756,1.29756,1.29756,1.29756,0
02.06.2003 05:00:00.000 GMT+0800,1.29964,1.30590,1.29938,1.30443,31174.6997
02.06.2003 09:00:00.000 GMT+0800,1.30398,1.31031,1.30265,1.30662,30644.8003
02.06.2003 13:00:00.000 GMT+0800,1.30628,1.30966,1.29833,1.30685,30313.1997
02.06.2003 17:00:00.000 GMT+0800,1.30714,1.30955,1.30472,1.30847,32683.500500000002
02.06.2003 21:00:00.000 GMT+0800,1.30809,1.30954,1.29670,1.29717,87434.4995
03.06.2003 01:00:00.000 GMT+0800,1.29684,1.30223,1.29426,1.30092,82468.2978
03.06.2003 05:00:00.000 GMT+0800,1.30110,1.30229,1.29863,1.30135,31305.7002
03.06.2003 09:00:00.000 GMT+0800,1.30130,1.30288,1.29897,1.29960,30295.4995
03.06.2003 13:00:00.000 GMT+0800,1.29934,1.30332,1.29864,1.30203,30699.5996
03.06.2003 17:00:00.000 GMT+0800,1.30213,1.31154,1.30136,1.30994,32204.3003
03.06.2003 21:00:00.000 GMT+0800,1.31031,1.31401,1.30599,1.31257,89671.0981
04.06.2003 01:00:00.000 GMT+0800,1.31244,1.31292,1.30675,1.31006,114491.7022
04.06.2003 05:00:00.000 GMT+0800,1.31035,1.31229,1.30845,1.31141,32741.9995
04.06.2003 09:00:00.000 GMT+0800,1.31136,1.31269,1.31027,1.31138,31853.5
